OBJECTID,DruhNehody,HlavniPricina,Zavineni,Datum,Den,DenNoc,Alkohol,Usmrceno,Tezce,Lehce,StavPovrchu,Pocasi,SpecifikaceMista,DruhVozidla,Smyk,Skoda,X,Y,x,y
2687,"Srážka s vozidlem zaparkovaným, odstaveným",Nedání přednosti v jizdě,Řidičem motorového vozidla,7/28/2018,Sobota,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Čerpadlo pohonných hmot,Osobní automobil,Ne,5000,16.6158446850001,49.2207533540001,1849667.369434329,6312401.9681350645
2690,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/30/2018,Pondělí,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,Osobní automobil,Ne,0,16.676208791,49.206814815,1856387.0709764347,6310026.677714085
2692,Srážka s chodcem,Nezaviněná řidičem,Chodcem,7/31/2018,Úterý,Den,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,0,16.6032256840001,49.1986582640001,1848262.6286686868,6308637.0163751235
2693,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,7/31/2018,Úterý,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,"Nezjištěno, řidič ujel",Ne,0,16.663692683,49.2068586790001,1854993.784207161,6310034.151603414
2699,Jiný druh nehody,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/1/2018,Středa,Noc,Ne,0,0,1,"Suchý, neznečištěný",Neztížené,Přechod pro chodce nebo v jeho blízkosti,Osobní automobil,Ne,0,16.594274679,49.2053695990001,1847266.2073499956,6309780.434284627
2700,Havárie,Nedání přednosti v jizdě,Řidičem motorového vozidla,8/1/2018,Středa,Noc,Nezjišťováno,0,1,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.6197806870001,49.220841358,1850105.5231727292,6312416.967176147
2702,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,7/30/2018,Pondělí,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.5914546810001,49.203599517,1846952.2866086033,6309478.84829947
2703,Srážka s pevnou překážkou,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/1/2018,Středa,Den,Ne,0,0,0,"Suchý, neznečištěný",Neztížené,Výjezd z parkoviště,Nákladní automobil,Ne,5000,16.6043196810001,49.1944590470001,1848384.4118576562,6307921.66982542
2704,"Srážka s vozidlem zaparkovaným, odstaveným",Nesprávný způsob jízdy,Řidičem motorového vozidla,8/1/2018,Středa,Noc,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.614777686,49.1986182570001,1849548.591648967,6308630.200801479
2705,Jiný druh nehody,Nesprávný způsob jízdy,Řidičem motorového vozidla,8/1/2018,Středa,Den,Nezjišťováno,0,0,0,"Suchý, neznečištěný",Neztížené,Žádné,"Nezjištěno, řidič ujel",Ne,0,16.594165689,49.196566153,1847254.074638694,6308280.612725863
