OBJECTID,ID,Datum,Den,Day,DenNoc,DayNight,DruhNehody,Type,Zavineni,CausedBy,Alkohol,Alcohol,HlavniPricina,MainCause,Usmrceno,Tezce,Lehce,DeathToll,HeavyInjuries,LightInjuries,StavPovrchu,RoadCondition,Pocasi,Weather,SpecifikaceMista,PlaceSituation,DruhVozidla,VehicleType,Smyk,Skyd,Skoda,X,Y,x2,y2
3119,60206181882,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s chodcem,Collision with pedestrian,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Zastávka MHD,Public transport stop,Osobní automobil,Car,Ne,No,0,16.5866396870001,49.211939928,16.5866396870001,49.211939928
3120,60206181883,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nedání přednosti v jizdě,Not respecting the right of way,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,20000,16.6178966890001,49.1868436440001,16.6178966890001,49.1868436440001
3121,60206181884,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s chodcem,Collision with pedestrian,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,1,0,0,1,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.573931686,49.188990759,16.573931686,49.188990759
3122,60206181885,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s jedoucím nekolejovým vozidlem,Collision with other motor vehicle,Řidičem motorového vozidla,Car driver,Pod vlivem alkoholu,Under the influence of alcohol,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,10000,16.5944456830001,49.205239598,16.5944456830001,49.205239598
3123,60206181886,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,Osobní automobil,Car,Ne,No,5000,16.653700676,49.2196102950001,16.653700676,49.2196102950001
3124,60206181887,10/5/2018 12:00:00 AM,Pátek,Friday,Den,Day,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Osobní automobil,Car,Ne,No,30000,16.5362894080001,49.2223466950001,16.5362894080001,49.2223466950001
3125,60206181888,10/6/2018 12:00:00 AM,Sobota,Saturday,Noc,Night,Srážka s pevnou překážkou,Collision with a fixed obstacle,Řidičem motorového vozidla,Car driver,Ne,No,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,0,16.6271856810001,49.2149630800001,16.6271856810001,49.2149630800001
3126,60206181889,10/5/2018 12:00:00 AM,Pátek,Friday,Noc,Night,"Srážka s vozidlem zaparkovaným, odstaveným",Collision with a parked vehicle,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,0,0,0,0,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Nákladní automobil,Truck,Ne,No,5000,16.5973629690001,49.223950781,16.5973629690001,49.223950781
3127,60206181890,10/6/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Havárie,Crash,Řidičem nemotorového vozidla,Non-motorized vehicle driver,Ne,No,Nepřiměřená rychlost jízdy,Inappropriate speed,0,0,1,0,0,1,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Žádné,None,Jízdní kolo,Bicycle,Ne,No,1000,16.5793176770001,49.21223194,16.5793176770001,49.21223194
3128,60206181891,10/6/2018 12:00:00 AM,Sobota,Saturday,Den,Day,Jiný druh nehody,Other,Řidičem motorového vozidla,Car driver,Nezjišťováno,Not tested,Nesprávný způsob jízdy,Inappropriate driving,0,0,2,0,0,2,"Suchý, neznečištěný",Dry and clean,Neztížené,Clear,Přechod pro chodce nebo v jeho blízkosti,Pedestrian crossing or nearby,"Nezjištěno, řidič ujel",Unknown,Ne,No,0,16.600959689,49.185311562,16.600959689,49.185311562
